ID_Experimento,Fator 1: Técnica,Fator 2: Alocação,N_Execução (1 a 10),Tempo_Resposta,L1-dcache-load,L1-dcache-load-misses,branch-instructions,branch-misses
1,Sem Otimização,Estática,1,"0,014487863",47.443.539,336.130,2.976.469,23.329
1,Sem Otimização,Estática,2,"0,022490754",43.558.057,542.692,3.281.634,18.179
1,Sem Otimização,Estática,3,"0,018377652",43.352.145,2.507.555,2.721.317,19.662
1,Sem Otimização,Estática,4,"0,022779567",49.896.726,426.962,3.286.191,27.114
1,Sem Otimização,Estática,5,"0,014871786",54.483.104,1.618.099,3.424.480,27.025
1,Sem Otimização,Estática,6,"0,019010134",52.244.591,650.232,3.311.962,24.983
1,Sem Otimização,Estática,7,"0,019503001",44.418.229,1.573.878,2.816.698,16.136
1,Sem Otimização,Estática,8,"0,016840493",37.755.834,323.106,2.847.943,21.821
1,Sem Otimização,Estática,9,"0,021877197",51.251.202,985.282,3.271.490,25.747
1,Sem Otimização,Estática,10,"0,019396785",43.401.619,448.028,2.722.731,15.109
2,Sem Otimização,Dinâmica,1,"0,014363435",38.706.021,335.865,2.805.022,16.915
2,Sem Otimização,Dinâmica,2,"0,013714551",38.711.740,2.188.759,2.436.592,17.398
2,Sem Otimização,Dinâmica,3,"0,013127718",37.029.844,2.086.151,2.826.247,22.729
2,Sem Otimização,Dinâmica,4,"0,014713994",37.017.086,2.084.870,2.817.318,21.441
2,Sem Otimização,Dinâmica,5,"0,012555516",37.016.187,2.086.045,2.816.707,19.082
2,Sem Otimização,Dinâmica,6,"0,012588917",37.010.335,2.084.362,2.812.292,20.050
2,Sem Otimização,Dinâmica,7,"0,014601567",37.016.585,314.824,2.816.683,22.579
2,Sem Otimização,Dinâmica,8,"0,014674717",37.022.548,552.140,2.820.764,22.685
2,Sem Otimização,Dinâmica,9,"0,014103125",49.386.441,642.973,3.132.157,22.158
2,Sem Otimização,Dinâmica,10,"0,014363435",38.706.021,335.865,2.805.022,16.915
5,Unrolling,Estática,1,"0,020409161",,,2.078.669,10.608
5,Unrolling,Estática,2,"0,016887198",,,1.438.588,3.697
5,Unrolling,Estática,3,"0,015517951",,,1.797.814,8.547
5,Unrolling,Estática,4,"0,025573905",,,2.634.667,26.533
5,Unrolling,Estática,5,"0,019842707",,,1.432.811,3.980
5,Unrolling,Estática,6,"0,012583716",,,1.696.599,6.389
5,Unrolling,Estática,7,"0,016497076",,,1.755.229,5.172
5,Unrolling,Estática,8,"0,017253131",,,1.364.679,7.364
5,Unrolling,Estática,9,"0,015249075",,,1.698.898,7.882
5,Unrolling,Estática,10,"0,015122087",,,1.687.742,5.298
6,Unrolling,Dinâmica,1,"0,015181609",,,1.670.216,10.664
6,Unrolling,Dinâmica,2,"0,022940617",,,1.783.238,8.983
6,Unrolling,Dinâmica,3,"0,017271475",,,1.495.659,11.280
6,Unrolling,Dinâmica,4,"0,016521163",,,1.439.927,9.310
6,Unrolling,Dinâmica,5,"0,014199468",,,1.529.172,9.065
6,Unrolling,Dinâmica,6,"0,011594277",,,1.753.744,10.177
6,Unrolling,Dinâmica,7,"0,019120402",,,1.547.343,8.164
6,Unrolling,Dinâmica,8,"0,019449031",,,1.970.389,17.393
6,Unrolling,Dinâmica,9,"0,011573573",,,1.761.630,15.110
6,Unrolling,Dinâmica,10,"0,022652876",,,1.696.515,12.772
7,Blocagem,Estática,1,"0,016820009",56.930.160,4.471,,
7,Blocagem,Estática,2,"0,013819046",47.807.942,8.175,,
7,Blocagem,Estática,3,"0,016426221",48.422.525,8.776,,
7,Blocagem,Estática,4,"0,018014666",48.845.802,12.421,,
7,Blocagem,Estática,5,"0,019505561",57.770.305,7.939,,
7,Blocagem,Estática,6,"0,018437039",47.808.630,10.013,,
7,Blocagem,Estática,7,"0,02193882",56.776.812,7.340,,
7,Blocagem,Estática,8,"0,022357926",54.775.856,6.077,,
7,Blocagem,Estática,9,"0,018723964",56.614.080,6.881,,
7,Blocagem,Estática,10,"0,017971424",54.991.170,5.187,,
8,Blocagem,Dinâmica,1,"0,019321731",56.879.042,6.687,,
8,Blocagem,Dinâmica,2,"0,022653785",64.231.217,9.201,,
8,Blocagem,Dinâmica,3,"0,021626552",55.344.976,6.785,,
8,Blocagem,Dinâmica,4,"0,023047746",58.405.519,6.472,,
8,Blocagem,Dinâmica,5,"0,025656395",65.402.611,27.093,,
8,Blocagem,Dinâmica,6,"0,017709781",56.040.709,4.020,,
8,Blocagem,Dinâmica,7,"0,018547663",47.753.725,11.179,,
8,Blocagem,Dinâmica,8,"0,020476551",53.718.661,8.465,,
8,Blocagem,Dinâmica,9,"0,0214895",55.454.779,7.188,,
8,Blocagem,Dinâmica,10,"0,022913132",62.114.979,11.029,,